 Nome da IES, Sigla da IES, Categoria Administrativa, Área de Avaliação, Município do Curso, Sigla da UF, CPC (Faixa)
INSTITUTO FLORENCE DE ENSINO SUPERIOR,IFES,Privada com fins lucrativos,TECNOLOGIA EM ESTÉTICA E COSMÉTICA,São Luís,MA,4
FACULDADE TERRA NORDESTE,FATENE,Privada com fins lucrativos,FISIOTERAPIA,Caucaia,CE,4
Faculdades Integradas Aparício Carvalho Vilhena,FIMCAVILHENA,Privada com fins lucrativos,ENGENHARIA ELÉTRICA,Vilhena,RO,3
CENTRO UNIVERSITÁRIO LA SALLE,UNILASALLE - LUCAS,Privada sem fins lucrativos,ENGENHARIA CIVIL,Lucas do Rio Verde,MT,2
FACULDADE QUIRINÓPOLIS,FAQUI,Privada com fins lucrativos,FARMÁCIA,Quirinópolis,GO,2
CENTRO UNIVERSITÁRIO DOM PEDRO II,UNIDOMPEDRO,Privada com fins lucrativos,ARQUITETURA E URBANISMO,Salvador,BA,3
UNIVERSIDADE DO SUL DE SANTA CATARINA,UNISUL,Comunitária/Confessional,FARMÁCIA,Palhoça,SC,3
CENTRO UNIVERSITÁRIO SOCIESC DE BLUMENAU,,Privada com fins lucrativos,MEDICINA VETERINÁRIA,Blumenau,SC,3
ESCOLA DE MEDICINA SOUZA MARQUES DA FUNDAÇÃO TÉCNICO-EDUCACIONAL SOUZA MARQUES,EMSM,Privada sem fins lucrativos,BIOMEDICINA,Rio de Janeiro,RJ,3
FACULDADE SANTA TEREZINHA,CEST,Privada sem fins lucrativos,TECNOLOGIA EM ESTÉTICA E COSMÉTICA,São Luís,MA,4
CENTRO UNIVERSITÁRIO CELSO LISBOA,UCL,Privada sem fins lucrativos,TECNOLOGIA EM ESTÉTICA E COSMÉTICA,Rio de Janeiro,RJ,4
UNIVERSIDADE SALVADOR,UNIFACS,Privada com fins lucrativos,FARMÁCIA,Feira de Santana,BA,3
Escola de Ensino Superior do Agreste Paraibano,EESAP,Privada com fins lucrativos,NUTRIÇÃO,Guarabira,PB,4
Escola de Ensino Superior do Agreste Paraibano,EESAP,Privada com fins lucrativos,FARMÁCIA,Guarabira,PB,3
Faculdade UNISUL de Florianópolis,,Privada com fins lucrativos,MEDICINA VETERINÁRIA,Florianópolis,SC,3
FACULDADE UNINASSAU MOSSORÓ,,Privada com fins lucrativos,ODONTOLOGIA,Mossoró,RN,3
Faculdade Mais de Ituiutaba,FacMais,Privada sem fins lucrativos,ENFERMAGEM,Ituiutaba,MG,4
Faculdade Mais de Ituiutaba,FacMais,Privada sem fins lucrativos,FARMÁCIA,Ituiutaba,MG,4
UNIVERSIDADE SALVADOR,UNIFACS,Privada com fins lucrativos,ENGENHARIA DE COMPUTAÇÃO I,Feira de Santana,BA,3
FACULDADE UNIBRAS DA BAHIA,FACBRAS,Privada com fins lucrativos,MEDICINA VETERINÁRIA,Juazeiro,BA,3
FACULDADE UNIBRAS DA BAHIA,FACBRAS,Privada com fins lucrativos,ODONTOLOGIA,Juazeiro,BA,4
Centro Universitário Unibras do Sudoeste Goiano,UniBRAS,Privada sem fins lucrativos,MEDICINA VETERINÁRIA,Rio Verde,GO,3
FACULDADE UNIBRAS DO MATO GROSSO,FACBRAS,Privada com fins lucrativos,MEDICINA VETERINÁRIA,São José dos Quatro Marcos,MT,3
"FACULDADE DE TEOLOGIA, FILOSOFIA E CIÊNCIAS HUMANAS GAMALIEL",FATEFIG,Privada com fins lucrativos,TECNOLOGIA EM ESTÉTICA E COSMÉTICA,Tucuruí,PA,3
"FACULDADE DE TEOLOGIA, FILOSOFIA E CIÊNCIAS HUMANAS GAMALIEL",FATEFIG,Privada com fins lucrativos,ODONTOLOGIA,Tucuruí,PA,3
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE",IFS,Pública Federal,ENGENHARIA ELÉTRICA,Lagarto,SE,3
FACULDADE TRÊS MARIAS,FTM,Privada com fins lucrativos,NUTRIÇÃO,João Pessoa,PB,4
FACULDADE DE ENSINO SUPERIOR DO INTERIOR PAULISTA,FAIP,Privada com fins lucrativos,NUTRIÇÃO,Marília,SP,4
CENTRO UNIVERSITÁRIO DE GOIÁS,UNIGOIÁS,Privada com fins lucrativos,MEDICINA VETERINÁRIA,Goiânia,GO,3
